
# Kudo products
# id|name|cat|price|was|rating|reviews|badge|emoji|c1|c2|stock|desc|images|variants|hidden|video|qty|unitLabel|unitPrice|restockNote|addedAt|endsAt|bundleIds|sold|freeShip

p18|Ceramic Pour-Over Set|home|5600|7200|4.8|220|Barista|鈽晐#FBEED9|#EBD1A8|in|Hand-glazed ceramic dripper and matching carafe. Brews two cups of clean, bright coffee at a time.|https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=800|Cream|||4|||3||1867||1735689600000|
p19|Bamboo Cutting Board|home|2400|3200|4.5|290||馃|#F0E4CE|#D7BE94|in|Edge-grain bamboo cutting board with juice groove and hanging hole. Naturally antimicrobial and knife-friendly.|https://images.unsplash.com/photo-1584362917165-526a968579e8?w=800||||||||1735689600000|||0|
p20|Noise-Cancelling Earbuds|tech|8900|12500|4.7|1860|Hot Deal|馃幍|#DCE9FF|#B4CCFF|in|True wireless earbuds with hybrid ANC, transparency mode, and 30-hour total battery life with the case.|https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=800|White~Black|||2|||4||2225|Selling fast|1735689600000|
p21|Leather Journal A5|home|2800|3600|4.7|410||馃摀|#EEDCC4|#D3B58A|in|Refillable A5 leather journal with 200 pages of thick cream paper and an elastic closure.|https://images.unsplash.com/photo-1531346878377-a5be20888e57?w=800|Tan~Black~Olive||||||1735689600000||||0|
p22|Silk Hair Scrunchie Set|beauty|1400|1900|4.5|890|Gift Set|馃巰|#FFE4EE|#FFC2DC|in|Set of five 22-momme mulberry silk scrunchies that hold without creasing. Gentle on hair, kind on sleep.|https://images.unsplash.com/photo-1594736797933-d0501ba2fe65?w=800|Blush Set~Neutral Set||||||1735689600000||||0|
p23|Minimalist Desk Lamp|home|7400|9800|4.6|312||馃挕|#F5F5EE|#D6D6C9|in|LED desk lamp with five brightness levels, three color temperatures, and a built-in USB charging port.|https://images.unsplash.com/photo-1507473885765-e6ed057f782c?w=800|White~Black|||3|||2||3700||1735689600000|
p24|Classic Aviator Sunglasses|fashion|5400|7200|4.5|740|Timeless|馃暥|#E8EDF5|#C2CDDD|in|Polarized aviator sunglasses with UV400 protection and a lightweight metal frame. Comes with a hard case.|https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=800|Gold~Silver~Black||||||1735689600000||||0|
p25|Insulated Travel Mug|home|2900|3800|4.6|520||馃イ|#D8E8E8|#B0CFCF|in|Double-wall stainless steel travel mug, keeps drinks hot for 6 hours or cold for 12. Fits most car cup holders.|https://images.unsplash.com/photo-1517256064527-09c73fc73e38?w=800|Matte Black~Sage~Cream||||||1735689600000||||0|
p26|Gift Card 鈥� KES 5,000|home|5000|5000|5|340|Gift Idea|馃巵|#FFE8C9|#FFC98E|in|Digital gift card redeemable on any order over KES 5,000. Delivered via WhatsApp within minutes.|https://images.unsplash.com/photo-1549465220-1a8b9238cd48?w=800||||||5000|voucher|1||1735689600000|0|
p27|Discontinued Tote Bag|bags|1500|2000|4.2|90||馃憸|#EFEFEF|#D4D4D4|out||https://images.unsplash.com/photo-1591561954557-26941169b49e?w=800|Natural||||||||1735689600000||0|
p28|Sample Draft 鈥� Do Not Show|tech|100|100|0|0|Draft|馃И|#EEEEEE|#DDDDDD|in|Hidden product for testing.|https://images.unsplash.com/photo-1518770660439-4636190af475?w=800||||1||||||1735689600000|0|
p29|Hand Cream Trio|beauty|2200|2900|4.7|410|Winter Set|馃Т|#FFEEDD|#FFD5B0|in|Three travel-size hand creams 鈥� Shea, Lavender, and Citrus. Rich but fast-absorbing.|https://images.unsplash.com/photo-1556228578-8c89e6adf883?w=800|Trio Set||||||1735689600000||||0|
p30|Compact Travel Umbrella|home|1900|2600|4.4|520|Rainy Season|鈽傦笍|#E0E8F0|#B8C8D8|in|Auto-open and close travel umbrella with a wind-resistant canopy. Folds down to 28cm.|https://images.unsplash.com/photo-1556909212-d5b604d0c90d?w=800|Black~Navy~Teal||||||1735689600000||||0|
